nuit_capture;pm;mg;ni;sc;bb;ts;th;gs;autres
A1_2023-08-06;0;0;0;0;0;0;0;0;0
A2_2023-08-06;0;0;1;0;0;0;0;0;0
B1_2023-08-06;0;0;0;0;0;0;0;0;0
B2_2023-08-06;0;0;0;0;0;0;0;0;0
C1_2023-08-06;0;0;0;0;0;0;0;0;0
C2_2023-08-06;0;0;0;0;0;0;0;0;0
D1_2023-08-06;0;0;0;0;0;0;0;0;0
D2_2023-08-06;0;0;0;0;0;0;0;0;0
E1_2023-08-06;0;0;0;0;0;0;0;0;0
E2_2023-08-06;0;0;0;0;0;0;0;0;0
F1_2023-08-06;0;0;0;0;0;0;0;0;0
F2_2023-08-06;0;0;0;0;0;0;0;0;0
G1_2023-08-06;0;0;0;0;0;0;0;0;0
G2_2023-08-06;0;0;0;0;0;0;0;0;0
A1_2023-08-07;0;0;0;0;0;0;0;0;0
A2_2023-08-07;0;0;0;0;0;0;0;0;0
B1_2023-08-07;0;0;0;0;1;0;0;0;0
B2_2023-08-07;0;0;0;0;0;0;0;0;0
C1_2023-08-07;0;0;0;0;0;0;0;0;0
C2_2023-08-07;0;0;0;0;0;0;0;0;0
D1_2023-08-07;0;0;0;0;0;0;0;0;0
D2_2023-08-07;0;0;0;0;0;0;0;0;0
E1_2023-08-07;0;0;0;0;0;0;0;0;0
E2_2023-08-07;0;0;0;0;0;0;0;0;0
F1_2023-08-07;0;0;0;0;0;0;0;0;0
F2_2023-08-07;0;0;0;0;0;0;0;0;0
G1_2023-08-07;0;0;0;0;0;0;0;0;0
G2_2023-08-07;0;0;0;0;0;0;0;0;0
A1_2023-08-08;0;0;0;0;0;0;0;0;0
A2_2023-08-08;0;0;0;0;0;0;0;0;0
B1_2023-08-08;1;0;0;0;0;0;0;0;0
B2_2023-08-08;0;0;0;0;0;0;0;0;0
C1_2023-08-08;0;0;0;0;0;0;0;0;0
C2_2023-08-08;0;0;0;0;0;0;0;0;0
D1_2023-08-08;0;0;0;0;0;0;0;0;0
D2_2023-08-08;0;0;0;0;0;0;0;0;0
E1_2023-08-08;1;0;0;0;0;0;0;0;0
E2_2023-08-08;0;0;0;0;0;0;0;0;0
F1_2023-08-08;0;0;0;0;1;0;0;0;0
F2_2023-08-08;0;0;0;0;0;0;0;0;0
G1_2023-08-08;1;0;0;0;0;0;0;0;0
G2_2023-08-08;0;0;0;0;0;0;0;0;0
A1_2023-08-09;0;0;0;0;0;0;0;0;0
A2_2023-08-09;0;0;1;0;0;0;0;0;0
B1_2023-08-09;0;0;0;0;0;0;0;0;0
B2_2023-08-09;0;0;0;0;0;0;0;0;0
C1_2023-08-09;0;0;0;0;0;0;0;0;0
C2_2023-08-09;0;0;0;0;0;0;0;0;0
D1_2023-08-09;0;0;0;0;0;0;0;0;0
D2_2023-08-09;0;0;0;0;0;0;0;0;0
E1_2023-08-09;0;0;0;0;0;0;0;0;0
E2_2023-08-09;0;0;0;0;0;0;0;0;0
F1_2023-08-09;0;0;0;0;0;0;0;0;0
F2_2023-08-09;0;0;0;0;0;0;0;0;0
G1_2023-08-09;1;0;0;0;0;0;0;0;0
G2_2023-08-09;0;0;0;0;0;1;0;0;0
