nuit_capture;id_parcelle;ressource;meteo;date
A1_2023-08-06;A1;tournesol;nuageux;2023-08-06
A2_2023-08-06;A2;temoin;nuageux;2023-08-06
B1_2023-08-06;B1;temoin;nuageux;2023-08-06
B2_2023-08-06;B2;tournesol;nuageux;2023-08-06
C1_2023-08-06;C1;tournesol;nuageux;2023-08-06
C2_2023-08-06;C2;temoin;nuageux;2023-08-06
D1_2023-08-06;D1;tournesol;nuageux;2023-08-06
D2_2023-08-06;D2;temoin;nuageux;2023-08-06
E1_2023-08-06;E1;temoin;nuageux;2023-08-06
E2_2023-08-06;E2;tournesol;nuageux;2023-08-06
F1_2023-08-06;F1;temoin;nuageux;2023-08-06
F2_2023-08-06;F2;tournesol;nuageux;2023-08-06
G1_2023-08-06;G1;tournesol;nuageux;2023-08-06
G2_2023-08-06;G2;temoin;nuageux;2023-08-06
A1_2023-08-07;A1;tournesol;pluie forte;2023-08-07
A2_2023-08-07;A2;temoin;pluie forte;2023-08-07
B1_2023-08-07;B1;temoin;pluie forte;2023-08-07
B2_2023-08-07;B2;tournesol;pluie forte;2023-08-07
C1_2023-08-07;C1;tournesol;pluie forte;2023-08-07
C2_2023-08-07;C2;temoin;pluie forte;2023-08-07
D1_2023-08-07;D1;tournesol;pluie forte;2023-08-07
D2_2023-08-07;D2;temoin;pluie forte;2023-08-07
E1_2023-08-07;E1;temoin;pluie forte;2023-08-07
E2_2023-08-07;E2;tournesol;pluie forte;2023-08-07
F1_2023-08-07;F1;temoin;pluie forte;2023-08-07
F2_2023-08-07;F2;tournesol;pluie forte;2023-08-07
G1_2023-08-07;G1;tournesol;pluie forte;2023-08-07
G2_2023-08-07;G2;temoin;pluie forte;2023-08-07
A1_2023-08-08;A1;tournesol;nuageux;2023-08-08
A2_2023-08-08;A2;temoin;nuageux;2023-08-08
B1_2023-08-08;B1;temoin;nuageux;2023-08-08
B2_2023-08-08;B2;tournesol;nuageux;2023-08-08
C1_2023-08-08;C1;tournesol;nuageux;2023-08-08
C2_2023-08-08;C2;temoin;nuageux;2023-08-08
D1_2023-08-08;D1;tournesol;nuageux;2023-08-08
D2_2023-08-08;D2;temoin;nuageux;2023-08-08
E1_2023-08-08;E1;temoin;nuageux;2023-08-08
E2_2023-08-08;E2;tournesol;nuageux;2023-08-08
F1_2023-08-08;F1;temoin;nuageux;2023-08-08
F2_2023-08-08;F2;tournesol;nuageux;2023-08-08
G1_2023-08-08;G1;tournesol;nuageux;2023-08-08
G2_2023-08-08;G2;temoin;nuageux;2023-08-08
A1_2023-08-09;A1;tournesol;pluie;2023-08-09
A2_2023-08-09;A2;temoin;pluie;2023-08-09
B1_2023-08-09;B1;temoin;pluie;2023-08-09
B2_2023-08-09;B2;tournesol;pluie;2023-08-09
C1_2023-08-09;C1;tournesol;pluie;2023-08-09
C2_2023-08-09;C2;temoin;pluie;2023-08-09
D1_2023-08-09;D1;tournesol;pluie;2023-08-09
D2_2023-08-09;D2;temoin;pluie;2023-08-09
E1_2023-08-09;E1;temoin;pluie;2023-08-09
E2_2023-08-09;E2;tournesol;pluie;2023-08-09
F1_2023-08-09;F1;temoin;pluie;2023-08-09
F2_2023-08-09;F2;tournesol;pluie;2023-08-09
G1_2023-08-09;G1;tournesol;pluie;2023-08-09
G2_2023-08-09;G2;temoin;pluie;2023-08-09
